filename, totalwords, totalkwds, Tax, Legal, Fin, Sys, Idio, rm_totalwords, rm_totalkwds, rm_Tax, rm_Legal, rm_Fin, rm_Sys, rm_Idio, rate_totalwords, rate_totalkwds, rate_Tax, rate_Legal, rate_Fin, rate_Sys, rate_Idio, techindustry_totalwords, techindustry_totalkwds, techindustry_Tax, techindustry_Legal, techindustry_Fin, techindustry_Sys, techindustry_Idio, investment_totalwords, investment_totalkwds, investment_Tax, investment_Legal, investment_Fin, investment_Sys, investment_Idio, expansion_totalwords, expansion_totalkwds, expansion_Tax, expansion_Legal, expansion_Fin, expansion_Sys, expansion_Idio, purchsales_totalwords, purchsales_totalkwds, purchsales_Tax, purchsales_Legal, purchsales_Fin, purchsales_Sys, purchsales_Idio, rd_totalwords, rd_totalkwds, rd_Tax, rd_Legal, rd_Fin, rd_Sys, rd_Idio, image_totalwords, image_totalkwds, image_Tax, image_Legal, image_Fin, image_Sys, image_Idio, shares_totalwords, shares_totalkwds, shares_Tax, shares_Legal, shares_Fin, shares_Sys, shares_Idio, merge_totalwords, merge_totalkwds, merge_Tax, merge_Legal, merge_Fin, merge_Sys, merge_Idio, manage_totalwords, manage_totalkwds, manage_Tax, manage_Legal, manage_Fin, manage_Sys, manage_Idio, rule_totalwords, rule_totalkwds, rule_Tax, rule_Legal, rule_Fin, rule_Sys, rule_Idio, lawsuit_totalwords, lawsuit_totalkwds, lawsuit_Tax, lawsuit_Legal, lawsuit_Fin, lawsuit_Sys, lawsuit_Idio, else_totalwords, else_totalkwds, else_Tax, else_Legal, else_Fin, else_Sys, else_Idio, crisis_totalwords, crisis_totalkwds, crisis_Tax, crisis_Legal, crisis_Fin, crisis_Sys, crisis_Idio, other_totalwords, other_totalkwds, other_Tax, other_Legal, other_Fin, other_Sys, other_Idio, 
2005073205佰研, 792, 82, 0, 8, 3, 35, 36, 0, 0, 0, 0, 0, 0, 0, 134, 18, 0, 0, 2, 10, 6, 44, 6, 0, 1, 0, 1, 4, 32, 2, 0, 0, 0, 2, 0, 11, 2, 0, 0, 0, 0, 2, 149, 19, 0, 1, 0, 9, 9, 129, 15, 0, 0, 0, 6, 9, 35, 2, 0, 1, 0, 0, 1, 61, 1, 0, 1, 0, 0, 0, 11, 2, 0, 0, 0, 0, 2, 20, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 104, 14, 0, 4, 0, 7, 3, 5, 0, 0, 0, 0, 0, 0, 28, 1, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2006062035唐榮, 4814, 554, 5, 68, 13, 323, 145, 0, 0, 0, 0, 0, 0, 0, 547, 49, 0, 0, 4, 38, 7, 83, 18, 0, 0, 0, 11, 7, 77, 5, 0, 0, 0, 5, 0, 17, 2, 0, 0, 0, 0, 2, 132, 19, 0, 0, 0, 13, 6, 96, 19, 0, 0, 0, 7, 12, 30, 1, 0, 1, 0, 0, 0, 88, 1, 0, 0, 1, 0, 0, 18, 2, 0, 0, 0, 0, 2, 47, 0, 0, 0, 0, 0, 0, 59, 8, 2, 0, 0, 2, 4, 2391, 227, 0, 65, 6, 131, 25, 1193, 202, 3, 2, 1, 116, 80, 31, 1, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2005019946三發, 568, 45, 0, 3, 2, 17, 23, 0, 0, 0, 0, 0, 0, 0, 73, 13, 0, 0, 1, 8, 4, 11, 1, 0, 0, 0, 0, 1, 56, 3, 0, 0, 0, 3, 0, 18, 2, 0, 0, 0, 0, 2, 98, 9, 0, 0, 0, 1, 8, 83, 4, 0, 0, 0, 1, 3, 10, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 11, 2, 0, 0, 0, 0, 2, 12, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 93, 10, 0, 3, 0, 4, 3, 5, 0, 0, 0, 0, 0, 0, 29, 1, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2005032509川湖, 491, 53, 0, 3, 3, 29, 18, 0, 0, 0, 0, 0, 0, 0, 120, 21, 0, 0, 2, 16, 3, 64, 12, 0, 0, 0, 3, 9, 61, 7, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 3, 0, 0, 0, 0, 3, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 98, 10, 0, 3, 0, 4, 3, 5, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 
2009083652精聯, 2711, 215, 9, 4, 6, 91, 105, 0, 0, 0, 0, 0, 0, 0, 882, 44, 7, 0, 3, 27, 7, 643, 84, 0, 0, 0, 17, 67, 365, 23, 2, 1, 3, 17, 0, 19, 2, 0, 0, 0, 0, 2, 174, 16, 0, 0, 0, 4, 12, 80, 11, 0, 0, 0, 3, 8, 52, 2, 0, 0, 0, 1, 1, 142, 0, 0, 0, 0, 0, 0, 19, 2, 0, 0, 0, 0, 2, 10, 0, 0, 0, 0, 0, 0, 47, 1, 0, 0, 0, 0, 1, 110, 12, 0, 2, 0, 7, 3, 7, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 131, 18, 0, 1, 0, 15, 2, 
2012113163波若威, 6669, 242, 0, 17, 1, 87, 137, 0, 0, 0, 0, 0, 0, 0, 485, 0, 0, 0, 0, 0, 0, 822, 0, 0, 0, 0, 0, 0, 124, 5, 0, 0, 0, 5, 0, 37, 4, 0, 0, 0, 2, 2, 89, 10, 0, 0, 0, 3, 7, 3250, 142, 0, 2, 0, 27, 113, 41, 2, 0, 1, 0, 1, 0, 36, 0, 0, 0, 0, 0, 0, 42, 4, 0, 0, 0, 1, 3, 19, 0, 0, 0, 0, 0, 0, 45, 2, 0, 1, 0, 1, 0, 666, 73, 0, 13, 1, 47, 12, 983, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2005063202樺晟, 552, 36, 0, 5, 0, 24, 7, 0, 0, 0, 0, 0, 0, 0, 166, 18, 0, 0, 0, 17, 1, 10, 1, 0, 0, 0, 0, 1, 72, 5, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 6, 0, 0, 0, 2, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 80, 6, 0, 3, 0, 2, 1, 5, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 
2013064161聿新科, 1788, 152, 3, 7, 4, 74, 64, 0, 0, 0, 0, 0, 0, 0, 462, 39, 0, 0, 2, 31, 6, 74, 10, 0, 0, 1, 3, 6, 83, 4, 0, 1, 0, 3, 0, 45, 7, 0, 0, 0, 4, 3, 164, 13, 0, 0, 0, 2, 11, 287, 29, 0, 1, 0, 13, 15, 37, 1, 0, 0, 0, 1, 0, 39, 0, 0, 0, 0, 0, 0, 46, 4, 0, 0, 0, 0, 4, 27, 0, 0, 0, 0, 0, 0, 63, 1, 0, 0, 0, 0, 1, 111, 12, 0, 2, 0, 7, 3, 13, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 307, 32, 3, 3, 1, 10, 15, 
2005083162生泰, 368, 34, 0, 5, 2, 20, 7, 0, 0, 0, 0, 0, 0, 0, 96, 17, 0, 0, 1, 13, 3, 14, 1, 0, 0, 0, 0, 1, 60, 4, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 96, 11, 0, 4, 0, 4, 3, 5, 0, 0, 0, 0, 0, 0, 31, 1, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 
2005018121越峰, 715, 88, 0, 3, 1, 49, 35, 0, 0, 0, 0, 0, 0, 0, 148, 28, 0, 0, 1, 23, 4, 62, 12, 0, 0, 0, 4, 8, 56, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 264, 33, 0, 0, 0, 13, 20, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 1, 0, 0, 0, 1, 0, 94, 10, 0, 3, 0, 4, 3, 5, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 
2005068114振華電, 890, 116, 2, 3, 9, 73, 29, 0, 0, 0, 0, 0, 0, 0, 282, 55, 2, 0, 1, 38, 14, 11, 1, 0, 0, 0, 0, 1, 133, 23, 0, 0, 4, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 17, 0, 0, 0, 7, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 237, 19, 0, 3, 4, 9, 3, 5, 0, 0, 0, 0, 0, 0, 31, 1, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 
2010122061風青, 2052, 219, 1, 14, 7, 110, 87, 0, 0, 0, 0, 0, 0, 0, 391, 55, 0, 0, 4, 44, 7, 19, 2, 0, 0, 0, 0, 2, 77, 7, 0, 0, 0, 7, 0, 12, 2, 0, 0, 0, 0, 2, 373, 27, 0, 0, 0, 8, 19, 27, 2, 0, 0, 0, 2, 0, 27, 1, 0, 0, 0, 1, 0, 23, 0, 0, 0, 0, 0, 0, 11, 2, 0, 0, 0, 0, 2, 13, 0, 0, 0, 0, 0, 0, 46, 2, 0, 1, 0, 0, 1, 111, 14, 0, 4, 0, 7, 3, 7, 0, 0, 0, 0, 0, 0, 30, 1, 0, 0, 1, 0, 0, 885, 104, 1, 9, 2, 41, 51, 
2012124152台微體, 1475, 151, 3, 12, 4, 57, 75, 0, 0, 0, 0, 0, 0, 0, 162, 25, 0, 0, 2, 15, 8, 60, 7, 0, 0, 0, 2, 5, 68, 3, 0, 0, 0, 3, 0, 19, 2, 0, 0, 0, 0, 2, 81, 8, 0, 0, 0, 3, 5, 209, 8, 0, 0, 0, 2, 6, 44, 4, 0, 1, 0, 2, 1, 34, 0, 0, 0, 0, 0, 0, 18, 2, 0, 0, 0, 0, 2, 22, 0, 0, 0, 0, 0, 0, 49, 2, 0, 1, 0, 1, 0, 110, 13, 0, 3, 0, 7, 3, 389, 52, 0, 5, 1, 13, 33, 29, 1, 0, 0, 1, 0, 0, 181, 24, 3, 2, 0, 9, 10, 
2013113564其陽, 1184, 45, 0, 8, 1, 20, 16, 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 49, 8, 0, 0, 0, 1, 7, 101, 12, 0, 1, 0, 11, 0, 9, 1, 0, 0, 0, 0, 1, 71, 4, 0, 0, 0, 1, 3, 502, 0, 0, 0, 0, 0, 0, 34, 2, 0, 1, 0, 0, 1, 18, 0, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 1, 10, 0, 0, 0, 0, 0, 0, 44, 2, 0, 1, 0, 1, 0, 111, 14, 0, 5, 0, 6, 3, 7, 0, 0, 0, 0, 0, 0, 30, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2004128044網家, 248, 17, 0, 3, 0, 10, 4, 0, 0, 0, 0, 0, 0, 0, 23, 3, 0, 0, 0, 3, 0, 10, 1, 0, 0, 0, 0, 1, 46, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 93, 10, 0, 3, 0, 4, 3, 5, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 
2007083501維熹, 1699, 83, 0, 4, 1, 50, 28, 0, 0, 0, 0, 0, 0, 0, 532, 35, 0, 0, 1, 28, 6, 42, 4, 0, 0, 0, 1, 3, 300, 10, 0, 0, 0, 10, 0, 13, 2, 0, 0, 0, 0, 2, 90, 6, 0, 0, 0, 0, 6, 412, 8, 0, 0, 0, 3, 5, 42, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 12, 2, 0, 0, 0, 0, 2, 23, 0, 0, 0, 0, 0, 0, 44, 2, 0, 0, 0, 1, 1, 110, 14, 0, 4, 0, 7, 3, 7, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2005018109博大, 1509, 116, 0, 12, 3, 61, 40, 0, 0, 0, 0, 0, 0, 0, 158, 28, 0, 0, 0, 24, 4, 31, 5, 0, 0, 0, 1, 4, 43, 2, 0, 0, 0, 2, 0, 25, 3, 0, 1, 0, 0, 2, 57, 8, 0, 0, 0, 2, 6, 409, 2, 0, 0, 0, 1, 1, 59, 4, 0, 0, 2, 2, 0, 55, 1, 0, 0, 0, 0, 1, 25, 3, 0, 1, 0, 0, 2, 30, 1, 0, 0, 0, 0, 1, 44, 1, 0, 0, 0, 0, 1, 532, 57, 0, 10, 0, 29, 18, 5, 0, 0, 0, 0, 0, 0, 31, 1, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2012022719燦星旅, 4697, 479, 3, 69, 18, 232, 157, 0, 0, 0, 0, 0, 0, 0, 175, 31, 0, 1, 3, 20, 7, 341, 55, 0, 2, 0, 24, 29, 68, 5, 0, 0, 0, 5, 0, 17, 2, 0, 0, 0, 0, 2, 51, 4, 0, 0, 0, 2, 2, 9, 0, 0, 0, 0, 0, 0, 29, 1, 0, 0, 0, 0, 1, 37, 0, 0, 0, 0, 0, 0, 66, 8, 0, 0, 1, 2, 5, 20, 0, 0, 0, 0, 0, 0, 88, 4, 0, 0, 0, 4, 0, 1514, 156, 0, 57, 4, 64, 31, 661, 69, 0, 3, 0, 41, 25, 30, 1, 0, 0, 1, 0, 0, 1591, 143, 3, 6, 9, 70, 55, 
2013114755三福化, 2073, 216, 8, 14, 16, 111, 67, 0, 0, 0, 0, 0, 0, 0, 575, 74, 5, 0, 9, 52, 8, 49, 5, 0, 0, 0, 1, 4, 279, 31, 0, 1, 5, 23, 2, 133, 18, 0, 0, 0, 7, 11, 187, 25, 0, 0, 0, 12, 13, 127, 15, 0, 0, 0, 3, 12, 103, 6, 0, 2, 1, 1, 2, 49, 0, 0, 0, 0, 0, 0, 34, 4, 0, 0, 0, 0, 4, 23, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 327, 29, 1, 9, 0, 11, 8, 7, 0, 0, 0, 0, 0, 0, 30, 1, 0, 0, 1, 0, 0, 84, 8, 2, 2, 0, 1, 3, 
2007013504揚明光, 2409, 285, 0, 8, 11, 142, 124, 0, 0, 0, 0, 0, 0, 0, 417, 80, 0, 0, 9, 60, 11, 34, 7, 0, 1, 0, 0, 6, 309, 34, 0, 2, 1, 29, 2, 40, 5, 0, 0, 0, 3, 2, 1034, 114, 0, 0, 0, 34, 80, 239, 22, 0, 0, 0, 7, 15, 21, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 33, 5, 0, 0, 0, 1, 4, 21, 0, 0, 0, 0, 0, 0, 64, 3, 0, 1, 0, 1, 1, 114, 14, 0, 4, 0, 7, 3, 7, 0, 0, 0, 0, 0, 0, 31, 1, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2013124953緯軟, 3075, 31, 0, 2, 1, 13, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 4, 0, 0, 0, 1, 3, 86, 1, 0, 0, 0, 1, 0, 10, 1, 0, 0, 0, 0, 1, 123, 15, 0, 0, 0, 9, 6, 99, 2, 0, 0, 0, 0, 2, 41, 2, 0, 1, 0, 1, 0, 36, 0, 0, 0, 0, 0, 0, 43, 4, 0, 0, 0, 1, 3, 19, 0, 0, 0, 0, 0, 0, 49, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 30, 1, 0, 0, 1, 0, 0, 2490, 0, 0, 0, 0, 0, 0, 
2009098048德勝, 1278, 118, 4, 3, 3, 59, 49, 0, 0, 0, 0, 0, 0, 0, 360, 56, 3, 0, 2, 42, 9, 111, 25, 0, 1, 0, 3, 21, 38, 2, 0, 0, 0, 2, 0, 18, 2, 0, 0, 0, 0, 2, 112, 3, 0, 0, 0, 0, 3, 175, 1, 0, 0, 0, 0, 1, 28, 1, 0, 0, 0, 1, 0, 35, 0, 0, 0, 0, 0, 0, 19, 2, 0, 0, 0, 0, 2, 20, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 109, 9, 0, 2, 0, 4, 3, 10, 0, 0, 0, 0, 0, 0, 34, 1, 0, 0, 1, 0, 0, 162, 16, 1, 0, 0, 7, 8, 
2012048406F-金可, 6236, 667, 152, 91, 16, 297, 111, 0, 0, 0, 0, 0, 0, 0, 324, 61, 0, 0, 4, 48, 9, 100, 11, 0, 0, 0, 3, 8, 62, 4, 0, 0, 0, 4, 0, 69, 10, 0, 0, 0, 3, 7, 171, 12, 0, 0, 0, 6, 6, 199, 9, 0, 0, 0, 3, 6, 56, 5, 0, 0, 0, 4, 1, 42, 0, 0, 0, 0, 0, 0, 148, 23, 0, 0, 0, 5, 18, 27, 0, 0, 0, 0, 0, 0, 95, 8, 0, 2, 0, 6, 0, 110, 14, 0, 4, 0, 7, 3, 4798, 509, 152, 85, 11, 208, 53, 30, 1, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
