word, tf, df
賠償金, 15, 9
產出, 15, 12
高階主管, 14, 14
收購, 14, 9
政府政策, 14, 11
證明, 14, 11
競爭者, 14, 11
商譽, 12, 9
擔保品, 12, 11
擴張, 12, 10
風險因素, 12, 11
等級, 12, 8
即期, 12, 12
加計, 12, 10
煤, 12, 9
產品發展, 12, 12
住宅, 11, 6
到期日, 11, 10
成長率, 11, 10
網際網路, 11, 11
評等, 11, 9
國稅, 10, 4
強制執行, 10, 8
天然氣, 10, 8
市價, 10, 10
增值稅, 10, 2
證書, 10, 7
成本控制, 10, 10
資訊科技, 10, 10
設施, 9, 9
罰款, 9, 4
國際財務報導準則, 9, 9
能量, 9, 9
抵押, 9, 7
產品組合, 9, 9
套利, 9, 9
承銷, 9, 2
合資, 9, 9
紅利, 8, 3
廣告, 8, 2
金融風暴, 8, 8
國稅局, 7, 4
產業環境, 7, 5
單一供應商, 7, 7
租稅, 7, 3
遞延所得稅負債, 6, 1
詐欺, 6, 3
傷害, 6, 4
新建工程, 6, 5
資產減損, 6, 4
有價證券, 6, 5
不景氣, 5, 4
臨床試驗, 5, 3
SARS, 5, 3
燃料, 5, 5
附屬, 5, 5
產業景氣, 5, 5
高層, 5, 5
商標, 4, 4
有害, 4, 3
採礦, 4, 2
電氣, 4, 3
商業化, 4, 2
詢問, 4, 4
營業稅, 4, 2
課稅, 4, 4
資金狀況, 4, 4
集中度, 3, 3
人工成本, 3, 2
資訊技術, 3, 3
勞動關係, 3, 1
重組, 3, 3
知名度, 3, 3
訂貨, 3, 3
信用評等, 3, 3
黃金, 3, 3
家族, 3, 3
意外事故, 3, 3
立法, 3, 3
企業文化, 3, 3
中東, 3, 3
天然災害, 3, 3
勞資關係, 2, 2
專利的, 2, 2
稅捐機關, 2, 1
消費品, 2, 2
礦石, 2, 2
汙染, 2, 2
不動產投資信託, 2, 2
遠期契約, 2, 2
準備率, 2, 2
操作環境, 2, 1
規模經濟, 2, 2
替代品, 2, 2
投資子公司, 2, 2
查詢, 2, 2
市場接受度, 2, 2
稀釋, 2, 2
吸收合併, 1, 1
911, 1, 1
戰爭, 1, 1
重整, 1, 1
承保範圍, 1, 1
經營維持, 1, 1
禁運, 1, 1
稅金, 1, 1
折現, 1, 1
空頭, 1, 1
利益衝突, 1, 1
價格壓力, 1, 1
債信評等, 1, 1
整治, 1, 1
唯一供應商, 1, 1
市場供給, 1, 1
氣象, 1, 1
季節性, 1, 1
汽油, 1, 1
應納稅額, 1, 1
財政政策, 1, 1
銀行負債, 1, 1
短少, 1, 1
遠期交易, 1, 1
維護費, 1, 1
配銷, 1, 1
舞弊, 1, 1
定價能力, 1, 1
知識的, 1, 1
冗贅, 0, 0
顧客服務, 0, 0
一般狀況, 0, 0
加盟事業, 0, 0
特許加盟, 0, 0
跌破面值股票, 0, 0
用智力的, 0, 0
實施新方法的影響, 0, 0
專營權, 0, 0
確定給付退休金計畫, 0, 0
資產受損, 0, 0
反接收, 0, 0
經濟增長, 0, 0
匯報管理, 0, 0
新產品允收, 0, 0
亞洲危機, 0, 0
管理保留, 0, 0
有固定利息的情況, 0, 0
國內生產毛額, 0, 0
應允, 0, 0
知性的, 0, 0
限制變革, 0, 0
不利的仲裁, 0, 0
貨物稅, 0, 0
股票市場上市, 0, 0
商譽損害, 0, 0
經濟學, 0, 0
選擇權??, 0, 0
限制的環境, 0, 0
被限制的交易, 0, 0
電腦聯線, 0, 0
國稅局審查, 0, 0
持有人的, 0, 0
判例的強制性, 0, 0
聯合開發, 0, 0
重要人員, 0, 0
I.T., 0, 0
有限的貿易, 0, 0
不動產抵押證券, 0, 0
易變的收益, 0, 0
管制變革, 0, 0
單獨供應商, 0, 0
曝光度, 0, 0
互補品, 0, 0
投資機器設備, 0, 0
市場接受性, 0, 0
新的理財, 0, 0
臨床實驗, 0, 0
所有權集中條款, 0, 0
過時, 0, 0
股票價格跌降, 0, 0
重議價, 0, 0
重構的實施, 0, 0
有智慧的, 0, 0
客戶集中度, 0, 0
有限的經營歷史, 0, 0
管制變更, 0, 0
政府調查, 0, 0
伊拉克, 0, 0
政治氣候, 0, 0
投資租賃工廠設備, 0, 0
信息科技, 0, 0
長期借款的狀況, 0, 0
稅務審查, 0, 0
短期合營, 0, 0
單獨顧客, 0, 0
裁決的強制性, 0, 0
取捨權, 0, 0
工會執照, 0, 0
高階管理層, 0, 0
零股, 0, 0
貨幣瓦解, 0, 0
消費者集中度, 0, 0
營利化, 0, 0
波動性的銷售, 0, 0
規定改變, 0, 0
交貨，交割, 0, 0
籌資租賃, 0, 0
可能的重申, 0, 0
供應鏈合併效果, 0, 0
限制變更, 0, 0
運用資本, 0, 0
美國財務會計準則委員會48號公報, 0, 0
槓桿作用, 0, 0
不利的審判, 0, 0
經濟衰退, 0, 0
新的融資, 0, 0
重大缺失, 0, 0
主要人事, 0, 0
特殊目的機構, 0, 0
Sarbanes-Oxley 法案, 0, 0
積壓訂貨, 0, 0
網路安全措施, 0, 0
盈虧互抵, 0, 0
加盟被授權者, 0, 0
稅務罰金, 0, 0
適當的安置, 0, 0
推銷, 0, 0
股票價格下降, 0, 0
安隆公司, 0, 0
產權減損, 0, 0
國稅局判決, 0, 0
過時工業, 0, 0
信用評級, 0, 0
避稅行為, 0, 0
足夠的配備職工, 0, 0
交換契約, 0, 0
降低保密等級, 0, 0
行政調查, 0, 0
消息報導, 0, 0
未處理的事務, 0, 0
工會選舉, 0, 0
集體訴訟?, 0, 0
補救, 0, 0
負的營運現金流量, 0, 0
管制批准, 0, 0
股票價格下跌, 0, 0
組織縮編, 0, 0
裁員, 0, 0
清償力, 0, 0
盧布, 0, 0
經濟條件, 0, 0
易變的權益實體, 0, 0
新的資金籌集, 0, 0
滯銷貨, 0, 0
獨家供應商, 0, 0
一般經濟狀況, 0, 0
新屋開工率, 0, 0
可能的重述, 0, 0
提供資金的狀況, 0, 0
備付所得稅, 0, 0
通貨瓦解, 0, 0
虧絀, 0, 0
波動性的收入, 0, 0
食品藥物管理局的批准, 0, 0
所有權人, 0, 0
管制改變, 0, 0
強制課稅, 0, 0
改良物, 0, 0
欠稅, 0, 0
滯銷品, 0, 0
沒有運轉, 0, 0
易變的營業結果, 0, 0
制衡作用, 0, 0
營運損失, 0, 0
沙賓法案, 0, 0
改量, 0, 0
折扣, 0, 0
無形體的整合, 0, 0
特許權, 0, 0
降級, 0, 0
目前沒有運作, 0, 0
欠繳稅款, 0, 0
無現行作業, 0, 0
儲蓄, 0, 0
贅餘, 0, 0
規定批准, 0, 0
理性的, 0, 0
資本租賃, 0, 0
租約承諾, 0, 0
資金不足的養老金, 0, 0
所有物, 0, 0
左輪手槍, 0, 0
限制批准, 0, 0
幣值波動, 0, 0
稅務罰款, 0, 0
信貸評級, 0, 0
無形的整合, 0, 0
州稅, 0, 0
不利的判決, 0, 0
重編報表, 0, 0
適當的用人, 0, 0
解除管制, 0, 0
負債負擔, 0, 0
加害, 0, 0
限制改變, 0, 0
審判的強制性, 0, 0
高層管理, 0, 0
銀行債務, 0, 0
強制捐贈, 0, 0
會計估計的不確定性, 0, 0
新產品接受度, 0, 0
滯銷存貨, 0, 0
確定給付制, 0, 0
加值稅, 0, 0
國稅局稽核, 0, 0
礦業, 0, 0
不利的裁決, 0, 0
政府認可, 0, 0
消費者信心, 0, 0
關鍵人員, 0, 0
行政批准, 0, 0
重構的實行, 0, 0
不易變現的市場, 0, 0
一般業務風險, 0, 0
沒有作業, 0, 0
維持期, 0, 0
一般條件, 0, 0
評價的強制性, 0, 0
規定變更, 0, 0
行政管制, 0, 0
波動性的營業成績, 0, 0
供應商罷工, 0, 0
退休後, 0, 0
經營特許權, 0, 0
組織內的銷售計畫, 0, 0
未了訴訟, 0, 0
所有權集中協定, 0, 0
挺率，財務槓桿作用, 0, 0
創立合併, 0, 0
新產品可接納性, 0, 0
內部人買賣, 0, 0
答應, 0, 0
稅務風險估列, 0, 0
市集, 0, 0
限制認可, 0, 0
臨床前的, 0, 0
經濟不確定的狀況; 經濟疑慮, 0, 0
稅務稽查, 0, 0
勞工聯盟許可證, 0, 0
不利的評價, 0, 0
技術過時, 0, 0
國稅局審判, 0, 0
陳廢, 0, 0
服從, 0, 0
計入, 0, 0
潛在訴訟, 0, 0
存貨過多, 0, 0
流動性；變現性, 0, 0
住宅動工指數, 0, 0
仲裁的強制性, 0, 0
催繳股款, 0, 0
融資租賃, 0, 0
新產品發展, 0, 0
投資附屬公司, 0, 0
財產稅, 0, 0
盲從, 0, 0
縮減規模, 0, 0
分等, 0, 0
產品性能, 0, 0
法規符合性, 0, 0
運行環境, 0, 0
降等, 0, 0
股票價格波動性, 0, 0
有限的買賣, 0, 0
建築工程合約著作權, 0, 0
恐怖主義, 0, 0
銷售生產性的資產, 0, 0
政府審查, 0, 0
再保險, 0, 0
規定認可, 0, 0
天氣, 0, 0
買賣權, 0, 0
出售有生產效益的資產, 0, 0
納稅義務, 0, 0
鎖在租賃期間, 0, 0
關稅制度, 0, 0
同化, 0, 0
管制認可, 0, 0
消費者支出, 0, 0
政局不穩, 0, 0
供應商共同合作, 0, 0
易變的銷售, 0, 0
遲延履約, 0, 0
依賴主要供應商, 0, 0
依賴主要客戶, 0, 0
熟悉內幕的銷售計畫, 0, 0
義務的貢獻, 0, 0
阿富汗, 0, 0
線上的, 0, 0
命令的捐助, 0, 0
資產證券化, 0, 0
行政審查, 0, 0
重新集資金, 0, 0
債務負擔, 0, 0
內部銷售, 0, 0
所有者的, 0, 0
受管制的環境, 0, 0
產品責任, 0, 0
技術報廢, 0, 0
規定的環境, 0, 0
亞洲風暴, 0, 0
持續保有高階管理, 0, 0
國外匯兌, 0, 0
信貸措施, 0, 0
順從, 0, 0
非流動市場, 0, 0
所有人, 0, 0
盧比, 0, 0
抵押品, 0, 0
改組, 0, 0
消費稅, 0, 0
合資經營, 0, 0
住房開工率, 0, 0
公共報導, 0, 0
磅, 0, 0
預約, 0, 0
超級基金, 0, 0
反壟斷, 0, 0
非現金的市場, 0, 0
重新借款, 0, 0
品牌認知, 0, 0
商譽減損, 0, 0
顧客集中度, 0, 0
礦物, 0, 0
知識份子, 0, 0
規定變革, 0, 0
勞工關係, 0, 0
稅務審計, 0, 0
總合需求, 0, 0
加州電力危機, 0, 0
報告控制, 0, 0
可能訴訟, 0, 0
獨佔的, 0, 0
不利的判例, 0, 0
強制出資, 0, 0
政治動亂, 0, 0
實施新標準的影響, 0, 0
自然災害, 0, 0
稅率體系, 0, 0
勞動成本, 0, 0
比索, 0, 0
進貨過多, 0, 0
特殊目的公司, 0, 0
抵押貸款服務權, 0, 0
