word, tf, df
汙染, 28, 18
抵押品, 26, 4
所有權人, 26, 10
礦石, 26, 10
資訊技術, 26, 26
貨物稅, 26, 18
礦業, 24, 12
財政政策, 24, 20
911, 24, 20
推銷, 22, 6
折扣, 20, 18
不動產投資信託, 20, 20
意外事故, 20, 20
家族, 20, 18
稀釋, 18, 16
知識的, 18, 14
整治, 18, 14
產品責任, 18, 14
臨床實驗, 18, 14
市場供給, 14, 12
汽油, 14, 10
磅, 14, 4
價格壓力, 14, 12
吸收合併, 14, 14
準備率, 12, 12
國內生產毛額, 12, 12
稅捐機關, 12, 8
過時, 12, 8
承保範圍, 12, 10
市集, 12, 6
產品性能, 12, 12
訂貨, 12, 12
遞延所得稅負債, 12, 2
利益衝突, 12, 12
遠期契約, 12, 12
氣象, 10, 10
陳廢, 10, 8
消費者信心, 10, 10
儲蓄, 10, 10
消費者支出, 8, 6
改良物, 8, 6
曝光度, 8, 8
遠期交易, 8, 8
唯一供應商, 8, 8
國稅局審查, 8, 4
財產稅, 8, 6
債信評等, 6, 6
加值稅, 6, 4
礦物, 6, 4
經營維持, 6, 6
裁員, 6, 4
預約, 6, 6
欠稅, 6, 4
操作環境, 6, 4
短少, 6, 6
應納稅額, 6, 6
維護費, 6, 6
補救, 6, 2
舞弊, 6, 6
折現, 4, 4
服從, 4, 2
政局不穩, 4, 4
銀行債務, 4, 4
合資經營, 4, 4
信用評級, 4, 2
經濟學, 4, 4
經濟條件, 4, 2
新產品發展, 4, 4
答應, 4, 4
所有人, 4, 4
客戶集中度, 4, 4
加害, 4, 4
營運損失, 2, 2
銀行負債, 2, 2
天氣, 2, 2
重要人員, 2, 2
債務負擔, 2, 2
空頭, 2, 2
資產證券化, 2, 2
顧客服務, 2, 2
知識份子, 2, 2
定價能力, 2, 2
盧比, 2, 2
分等, 2, 2
禁運, 2, 2
消費稅, 2, 2
聯合開發, 2, 2
融資租賃, 2, 2
應允, 2, 2
政府認可, 2, 2
重大缺失, 2, 2
獨佔的, 2, 2
自然災害, 2, 2
退休後, 2, 2
所有物, 2, 2
特許權, 2, 2
加州電力危機, 0, 0
產權減損, 0, 0
有限的貿易, 0, 0
消費者集中度, 0, 0
備付所得稅, 0, 0
實施新方法的影響, 0, 0
資本租賃, 0, 0
管理保留, 0, 0
網路安全措施, 0, 0
經營特許權, 0, 0
伊拉克, 0, 0
降等, 0, 0
足夠的配備職工, 0, 0
稅務稽查, 0, 0
易變的銷售, 0, 0
稅務風險估列, 0, 0
贅餘, 0, 0
籌資租賃, 0, 0
未處理的事務, 0, 0
新產品接受度, 0, 0
信貸措施, 0, 0
股票價格下降, 0, 0
確定給付制, 0, 0
恐怖主義, 0, 0
資金不足的養老金, 0, 0
仲裁的強制性, 0, 0
易變的收益, 0, 0
用智力的, 0, 0
工會選舉, 0, 0
I.T., 0, 0
降級, 0, 0
盲從, 0, 0
一般條件, 0, 0
審判的強制性, 0, 0
供應鏈合併效果, 0, 0
不易變現的市場, 0, 0
單獨顧客, 0, 0
規定認可, 0, 0
租約承諾, 0, 0
熟悉內幕的銷售計畫, 0, 0
波動性的收入, 0, 0
不利的判決, 0, 0
運用資本, 0, 0
依賴主要供應商, 0, 0
稅務審查, 0, 0
清償力, 0, 0
管制變革, 0, 0
公共報導, 0, 0
無現行作業, 0, 0
適當的用人, 0, 0
加盟事業, 0, 0
技術過時, 0, 0
主要人事, 0, 0
有限的買賣, 0, 0
重構的實行, 0, 0
知性的, 0, 0
技術報廢, 0, 0
不動產抵押證券, 0, 0
獨家供應商, 0, 0
限制認可, 0, 0
供應商罷工, 0, 0
強制捐贈, 0, 0
義務的貢獻, 0, 0
管制認可, 0, 0
不利的仲裁, 0, 0
高層管理, 0, 0
維持期, 0, 0
營利化, 0, 0
適當的安置, 0, 0
有固定利息的情況, 0, 0
限制變更, 0, 0
管制改變, 0, 0
臨床前的, 0, 0
避稅行為, 0, 0
限制變革, 0, 0
市場接受性, 0, 0
持續保有高階管理, 0, 0
州稅, 0, 0
可能的重述, 0, 0
滯銷品, 0, 0
超級基金, 0, 0
非現金的市場, 0, 0
組織內的銷售計畫, 0, 0
一般業務風險, 0, 0
未了訴訟, 0, 0
會計估計的不確定性, 0, 0
商譽減損, 0, 0
所有權集中條款, 0, 0
降低保密等級, 0, 0
貨幣瓦解, 0, 0
高階管理層, 0, 0
目前沒有運作, 0, 0
受管制的環境, 0, 0
限制的環境, 0, 0
改組, 0, 0
行政調查, 0, 0
買賣權, 0, 0
新屋開工率, 0, 0
政府調查, 0, 0
可能的重申, 0, 0
規定改變, 0, 0
關稅制度, 0, 0
勞工聯盟許可證, 0, 0
縮減規模, 0, 0
交貨，交割, 0, 0
積壓訂貨, 0, 0
政治氣候, 0, 0
亞洲危機, 0, 0
國外匯兌, 0, 0
經濟不確定的狀況; 經濟疑慮, 0, 0
負債負擔, 0, 0
制衡作用, 0, 0
品牌認知, 0, 0
股票價格波動性, 0, 0
互補品, 0, 0
行政審查, 0, 0
信息科技, 0, 0
盈虧互抵, 0, 0
沙賓法案, 0, 0
比索, 0, 0
依賴主要客戶, 0, 0
住宅動工指數, 0, 0
鎖在租賃期間, 0, 0
命令的捐助, 0, 0
亞洲風暴, 0, 0
易變的權益實體, 0, 0
幣值波動, 0, 0
易變的營業結果, 0, 0
新產品允收, 0, 0
行政批准, 0, 0
選擇權??, 0, 0
限制批准, 0, 0
不利的審判, 0, 0
判例的強制性, 0, 0
潛在訴訟, 0, 0
工會執照, 0, 0
非流動市場, 0, 0
稅務罰款, 0, 0
強制課稅, 0, 0
特殊目的機構, 0, 0
可能訴訟, 0, 0
規定變更, 0, 0
線上的, 0, 0
所有權集中協定, 0, 0
存貨過多, 0, 0
稅務審計, 0, 0
一般狀況, 0, 0
規定批准, 0, 0
重議價, 0, 0
反壟斷, 0, 0
新產品可接納性, 0, 0
冗贅, 0, 0
內部銷售, 0, 0
評價的強制性, 0, 0
有限的經營歷史, 0, 0
專營權, 0, 0
管制批准, 0, 0
特殊目的公司, 0, 0
加盟被授權者, 0, 0
消息報導, 0, 0
阿富汗, 0, 0
Sarbanes-Oxley 法案, 0, 0
匯報管理, 0, 0
滯銷存貨, 0, 0
集體訴訟?, 0, 0
滯銷貨, 0, 0
進貨過多, 0, 0
虧絀, 0, 0
國稅局稽核, 0, 0
安隆公司, 0, 0
建築工程合約著作權, 0, 0
銷售生產性的資產, 0, 0
長期借款的狀況, 0, 0
重新借款, 0, 0
住房開工率, 0, 0
美國財務會計準則委員會48號公報, 0, 0
限制改變, 0, 0
負的營運現金流量, 0, 0
確定給付退休金計畫, 0, 0
報告控制, 0, 0
規定的環境, 0, 0
行政管制, 0, 0
商譽損害, 0, 0
稅率體系, 0, 0
組織縮編, 0, 0
投資租賃工廠設備, 0, 0
一般經濟狀況, 0, 0
特許加盟, 0, 0
交換契約, 0, 0
投資附屬公司, 0, 0
新的理財, 0, 0
供應商共同合作, 0, 0
國稅局判決, 0, 0
抵押貸款服務權, 0, 0
重構的實施, 0, 0
理性的, 0, 0
波動性的營業成績, 0, 0
零股, 0, 0
不利的評價, 0, 0
投資機器設備, 0, 0
欠繳稅款, 0, 0
食品藥物管理局的批准, 0, 0
被限制的交易, 0, 0
股票市場上市, 0, 0
順從, 0, 0
取捨權, 0, 0
同化, 0, 0
重新集資金, 0, 0
波動性的銷售, 0, 0
沒有作業, 0, 0
盧布, 0, 0
信貸評級, 0, 0
管制變更, 0, 0
沒有運轉, 0, 0
總合需求, 0, 0
不利的裁決, 0, 0
持有人的, 0, 0
重編報表, 0, 0
出售有生產效益的資產, 0, 0
股票價格下跌, 0, 0
內部人買賣, 0, 0
政府審查, 0, 0
提供資金的狀況, 0, 0
單獨供應商, 0, 0
國稅局審判, 0, 0
強制出資, 0, 0
運行環境, 0, 0
挺率，財務槓桿作用, 0, 0
左輪手槍, 0, 0
勞工關係, 0, 0
無形體的整合, 0, 0
槓桿作用, 0, 0
所有者的, 0, 0
關鍵人員, 0, 0
過時工業, 0, 0
稅務罰金, 0, 0
創立合併, 0, 0
不利的判例, 0, 0
流動性；變現性, 0, 0
通貨瓦解, 0, 0
反接收, 0, 0
短期合營, 0, 0
政治動亂, 0, 0
裁決的強制性, 0, 0
遲延履約, 0, 0
無形的整合, 0, 0
新的資金籌集, 0, 0
有智慧的, 0, 0
顧客集中度, 0, 0
跌破面值股票, 0, 0
電腦聯線, 0, 0
資產受損, 0, 0
規定變革, 0, 0
解除管制, 0, 0
催繳股款, 0, 0
改量, 0, 0
實施新標準的影響, 0, 0
股票價格跌降, 0, 0
新的融資, 0, 0
法規符合性, 0, 0
